taxon_no,taxon_rank,taxon_name,parent_no
62877,family,Xenophoridae,62878
60784,family,Lamelliphoridae,62878
62537,superfamily,Tonnoidea,60936
62082,family,Ranellidae,62537
60009,family,Cymatiidae,61351
60801,family,Laubierinidae,62537
61691,family,Personidae,62537
62536,family,Tonnidae,62537
59432,family,Bursidae,62537
59582,family,Cassidae,62537
59583,family,Cassididae,59582
60426,family,Galeodoliidae,62537
61770,family,Pisanianuridae,62537
90260,family,Maturifusidae,60690
120948,family,Settsassiidae,60690
59784,family,Coelostylinidae,60690
61987,suborder,Ptenoglossa,60690
90116,family,Pommerozygiidae,60690
62297,order,Sorbeoconcha,8304
120391,family,Prisciphoridae,62297
118574,family,Canterburyellidae,62297
59514,superfamily,Campaniloidea,62297
337310,family,Diozoptyxidae,59514
59513,family,Campanilidae,59514
338090,family,Gymnocerithiidae,59514
61814,family,Plesiotrochidae,59514
119671,family,Trypanaxidae,59514
111059,family,Pleisotrochidae,59514
59621,suborder,Cerithiimorpha,62297
59623,superfamily,Cerithioidea,62297
120622,family,Prostyliferidae,59623
61893,family,Potamididae,59623
120604,family,Telescopiidae,59623
59616,family,Cerithideidae,59623
120378,family,Litiopidae,59623
118587,family,Maoraxidae,59623
62518,family,Thiaridae,59623
62242,family,Siliquariidae,59623
60113,family,Diastomatidae,59623
120380,family,Ewekoroiidae,59623
61797,family,Planaxidae,59623
60354,family,Faxiidae,59623
118584,family,Eustomatidae,59623
120394,family,Acanthonematidae,59623
60803,family,Lavigeriidae,59623
68956,family,Propupaspiridae,59623
89031,family,Cryptaulacidae,59623
55363,family,Turritellidae,59623
120373,family,Melanopsidae,59623
118594,family,Stomatopsidae,59623
118593,family,Amphimelaniidae,59623
118592,family,Fagotiidae,59623
118581,family,Brachytrematidae,59623
118578,family,Pyrazidae,59623
62180,family,Scaliolidae,59623
61470,family,Obtortionidae,59623
62411,family,Syrnolopsidae,59623
120390,family,Cerithiidae,59623
61174,family,Modulidae,59623
120602,family,Aplodontidae,59623
120381,family,Cassiopidae,59623
60467,family,Glauconiidae,59623
120624,family,Popenellidae,59623
62492,family,Terebrellidae,59623
120328,family,Metacerithiidae,59623
61908,family,Procerithiidae,59623
118585,family,Ladinulidae,59623
120623,family,Paludomidae,59623
61736,family,Pianaridae,59623
60107,family,Dialidae,59623
120621,family,Pleuroceridae,59623
61552,family,Pachychilidae,59623
59097,family,Anaplocamidae,61552
113222,family,Opisthonematidae,8304
171382,subclass,Archaeobranchia,8304
172014,order,Pelagielliformes,171382
116368,family,Thatcheriidae,8304
57194,subclass,Heterostropha,8304
60641,subclass,Heterobranchia,8304
338585,order,Architectibranchia,57194
58991,superfamily,Acteonoidea,338585
122496,family,Acteonellidae,58991
60679,family,Hydatinidae,58991
93599,family,Aplustridae,58991
64733,family,Cylindrobullinidae,58991
62622,family,Tubiferidae,58991
59613,family,Ceritellidae,58991
58988,superfamily,Acteonacea,58991
58989,family,Acteonidae,58991
58981,family,Acteocinidae,58989
62136,family,Ringiculidae,58991
59426,family,Bullinidae,58991
338589,family,Nonacteoninidae,58991
338590,family,Sulcoactaeonidae,58991
90263,family,Stuoraxidae,57194
57193,order,Allogastropoda,57194
57192,superfamily,Streptacidoidea,57193
85973,family,Cassianebalidae,57192
70849,family,Heterosubulitidae,57192
57191,family,Donaldinidae,57192
154177,superfamily,Mathildoidea,57193
150358,family,Gordenellidae,154177
338004,family,Trachoecidae,154177
61072,family,Mathildidae,154177
72353,family,Anoptychiidae,154177
90262,family,Tofanellidae,154177
70596,family,Ampezzanildidae,57193
335521,superfamily,Plectopyloidea,8304
335520,family,Plectopylidae,335521
90747,family,Neptuneidae,8304
114374,family,Rhytidopilidae,8304
113647,superfamily,Helicarionoidea,8304
68945,family,Plicatusidae,8304
62009,subclass,Pulmonata,8304
327909,superfamily,Enoidea,62009
327899,family,Enidae,327909
324109,family,Cerastidae,62009
312868,unranked clade,Eupulmonata,62009
94581,superfamily,Ellobioidea,94582
60205,family,Ellobiidae,94581
61082,superfamily,Melampoidea,94582
60204,superfamily,Ellobiacea,94581
327506,family,Vertiginidae,94581
312895,unranked clade,Stylommatophora,94582
312849,unranked clade,Elasmognatha,62381
312850,superfamily,Succineoidea,312849
162065,family,Succineidae,312850
312853,superfamily,Athoracophoroidea,312849
312854,family,Athoracophoridae,312853
327470,superfamily,Clausilioidea,62381
327882,family,Filholiidae,327470
327469,family,Clausiliidae,327470
264742,superfamily,Acavoidea,62381
66056,family,Acavidae,264742
333757,family,Gastrocoptidae,62381
339223,superfamily,Clausiloidea,62381
339222,family,Anadromidae,339223
333747,family,Punctidae,62381
312876,unranked clade,Orthurethra,62381
312882,superfamily,Cochlicopoidea,312876
312800,family,Cochlicopidae,312882
312880,superfamily,Achatinelloidea,312876
312881,family,Achatinellidae,312880
114480,superfamily,Pupilloidea,312876
114482,family,Strobilopsidae,114480
135556,family,Pupillidae,114480
114479,family,Valloniidae,114480
327589,family,Argnidae,114480
327496,family,Orculidae,114480
312877,superfamily,Partuloidea,312876
312879,family,Draparnaudiidae,312877
312878,family,Partulidae,312877
312884,unranked clade,Sigmurethra,62381
264740,superfamily,Orthalicoidea,312884
135568,family,Grangerellidae,264740
264741,family,Orthalicidae,264740
312894,superfamily,Sagdoidea,312884
135547,family,Sagdidae,312894
312885,superfamily,Parmacelloidea,312884
88836,family,Milacidae,312885
312893,superfamily,Punctoidea,312884
135549,family,Endodontidae,312893
327487,family,Parmacellidae,312893
327484,family,Helicodiscidae,312893
135544,family,Oreohelicidae,312893
113646,superfamily,Helicoidea,312884
327966,family,Helicodontidae,113646
327981,family,Trissexodontidae,113646
113645,family,Hygromiidae,113646
94483,family,Helicidae,113646
327921,family,Elonidae,113646
135058,family,Pleurodontidae,113646
312886,superfamily,Zonitoidea,312884
162068,family,Zonitidae,312886
312887,superfamily,Achatinoidea,312884
324104,family,Achatinidae,312887
327610,family,Ferussaciidae,312887
88834,family,Subulinidae,312887
114485,superfamily,Limacoidea,312884
327488,family,Agriolimacidae,114485
114487,family,Limacidae,114485
114484,family,Vitrinidae,114485
312891,superfamily,Gastrodontoidea,312884
327582,family,Gastrodontidae,312891
333752,family,Testacellidae,62381
83638,order,Limnophila,62381
83644,superfamily,Ancyloidea,83638
333755,family,Camaenidae,62381
312857,superfamily,Otinoidea,94582
312858,family,Otinidae,312857
312859,family,Smeagolidae,312857
312867,unranked clade,Systellommatophora,94582
312869,superfamily,Onchidioidea,312866
312870,family,Onchidiidae,312869
312871,superfamily,Veronicelloidea,312866
312873,family,Rathouisiidae,312871
312872,family,Veronicellidae,312871
312856,superfamily,Trimusculoidea,94582
90523,family,Trimusculidae,312856
312812,unranked clade,Basommatophora,62009
62265,superfamily,Siphonarioidea,12278
312820,family,Acroreiidae,62265
62263,superfamily,Siphonariacea,12278
62264,family,Siphonariidae,62265
312817,family,Anisomyonidae,62265
312819,family,Liriolidae,62265
312818,family,Siphonacmeidae,62265
312821,unranked clade,Hygrophila,12278
312824,superfamily,Acroloxoidea,312821
312825,family,Acroloxidae,312824
312822,superfamily,Chilinoidea,312821
264782,family,Chilinidae,312822
312823,family,Latiidae,312822
114470,superfamily,Planorboidea,312821
61804,family,Planorbidae,114470
83654,family,Ancylidae,114470
83645,family,Physidae,114470
83639,superfamily,Lymnaeoidea,312821
83640,family,Lymnaeidae,83639
312813,superfamily,Amphiboloidea,12278
312814,family,Amphibolidae,312813
312816,family,Salinatoridae,312813
312815,family,Ampullaceridae,312813
90299,superfamily,Basommatophora,62009
8305,order,Bellerophontida,8304
70802,suborder,Bellerophontina,8305
65919,superfamily,Bellerophontoidea,70802
58429,family,Sinuitidae,57124
70866,family,Protowarthiidae,58429
58431,family,Bucaniellidae,58429
71305,family,Temnodiscidae,57124
54564,family,Bellerophontidae,57124
113094,family,Liljevallospiridae,57124
115316,family,Plectonotidae,57124
70846,family,Euphemitidae,57124
70831,family,Bucaniidae,57124
70852,family,Knightitidae,57124
71306,family,Cymbulariidae,57124
70830,family,Bucanellidae,57124
70868,family,Pterothecidae,57124
70880,family,Yochelsoniidae,57124
57130,superfamily,Tropidodiscoidea,8305
57129,family,Tropidodiscidae,57130
113223,family,Pragoserpulinidae,8304
82581,family,Admetidae,8304
58776,subclass,Orthogastropoda,8304
61384,superorder,Neritopsina,58776
61382,superfamily,Neritoidea,61384
61374,family,Neritidae,61373
116255,family,Protoneritidae,61373
276402,family,Neridomidae,61373
61709,family,Phenacolepadidae,61373
116258,family,Shinkailepadidae,61373
116260,family,Pileolidae,61373
63319,family,Naticopsidae,61373
141021,family,Neritariidae,61373
59773,superorder,Cocculiniformia,58776
59774,superfamily,Cocculinoidea,59773
59772,family,Cocculinidae,59774
112589,family,Bathysciadiidae,59774
112372,family,Bathypeltidae,59774
59770,superfamily,Cocculinacea,59774
60818,superfamily,Lepetelloidea,59773
61953,family,Pseudococculinidae,60818
110260,family,Caymanabyssiidae,60818
61519,family,Osteopeltidae,60818
110257,family,Addisoniidae,60818
110261,family,Pyropeltidae,60818
60817,family,Lepetellidae,60818
110259,family,Bathyphytophilidae,60818
59771,family,Cocculinellidae,60818
57111,order,Murchisoniina,58776
70820,superfamily,Straparollinoidea,57111
88853,family,Straparollinidae,70820
57117,superfamily,Eotomarioidea,57111
70819,superfamily,Porcellioidea,57111
253122,family,Pseudoschizogoniidae,57117
57196,family,Porcelliidae,57117
58022,family,Luciellidae,57117
253123,family,Wortheniellidae,57117
54456,family,Phanerotrematidae,57117
58510,family,Eotomariidae,57117
57116,family,Gosseletinidae,57117
70625,superfamily,Trochonematoidea,57111
58435,family,Trochonematidae,58434
57109,superfamily,Lophospiroidea,57111
57110,superfamily,Lophospiroidea,57111
56479,family,Lophospiridae,58434
57141,superfamily,Murchisonioidea,57111
57203,family,Murchisoniidae,61214
70859,family,Pithodeidae,61214
61815,family,Plethospiridae,61214
57140,family,Hormotomidae,61214
63161,family,Cheeneetnukiidae,61214
57122,superfamily,Loxonematoidea,57111
57121,family,Soleniscidae,70086
57199,family,Scoliostomatidae,70086
57137,family,Palaeozygopleuridae,70086
57136,family,Loxonematidae,70086
113229,family,Holopellidae,70086
57987,family,Crassimarginatidae,70086
62902,family,Zygopleuridae,70086
90114,family,Polygyrinidae,62902
62306,family,Spirostylidae,70086
58937,family,Abyssochrysidae,70086
70613,superfamily,Subulitoidea,57111
119040,family,Ischnoptygmatidae,58363
58364,family,Subulitidae,58363
70847,family,Fusispiridae,58363
119039,family,Bulimorphidae,58363
119038,family,Macrocheilidae,58363
60640,superorder,Heterobranchia,58776
61354,superfamily,Nerineoidea,60640
60200,family,Elegantellidae,61354
60738,family,Itieriidae,61354
59285,family,Bactroptyxisidae,61354
61884,family,Polyptyxisidae,61354
61699,family,Phaneroptyxisidae,61354
60197,family,Elatioriellidae,61354
61353,family,Nerinellidae,61354
61352,family,Nerineidae,61354
62587,family,Triptyxisidae,61354
60057,family,Dalmateidae,61354
59155,family,Aptyxiellidae,61354
60357,family,Fibuloptygmatidae,61354
60358,family,Fibulotyxisidae,61354
59255,family,Auroraellidae,61354
62730,family,Upellidae,61354
62738,superfamily,Valvatoidea,60640
61507,family,Orbitestellidae,62738
59880,family,Cornirostridae,62738
62883,family,Xylodisculidae,62738
62737,family,Valvatidae,62738
65274,family,Kuskokwimiidae,60640
61491,superfamily,Omalogyroidea,60640
61490,family,Omalogyridae,61491
62141,superfamily,Rissoelloidea,60640
62140,family,Rissoellidae,62141
71301,superfamily,Pyramidelloidea,60640
59025,family,Amathinidae,62033
62032,family,Pyramidellidae,62033
171529,family,Tjaernoiidae,62033
70641,family,Heteroneritidae,62033
58661,family,Streptacididae,62033
62031,superfamily,Pyramidellacaea,60640
278225,family,Murchisonellidae,62033
66234,family,Ebalidae,62033
88887,superfamily,Doridoidea,60640
88886,family,Chromodorididae,88887
59187,superfamily,Architectonicoidea,60640
59185,superfamily,Architectonicacea,60640
337753,family,Amphitomariidae,59187
59186,family,Architectonicidae,59187
58775,superorder,Vetigastropoda,58776
70809,superfamily,Amberleyoidea,58775
110204,family,Nododelphinulidae,70809
253114,superfamily,Ptychomphaloidea,58775
253116,family,Rhaphistomellidae,253114
253115,family,Ptychomphalidae,253114
58514,superfamily,Pleurotomarioidea,58775
111543,family,Kittlidiscidae,61827
111544,family,Trochotomidae,61827
111546,family,Zygitidae,61827
70869,family,Rhaphischismatidae,61827
253113,family,Lancedelliidae,61827
70862,family,Portlockiellidae,61827
70858,family,Phymatopleuridae,61827
253112,family,Stuorellidae,61827
111568,family,Catantostomatidae,61827
111716,family,Pleurotomariidae,61827
111717,family,Polytremariidae,61827
61117,superfamily,Microdomatoidea,58775
60578,superfamily,Haliotoidea,58775
60569,family,Haliotidae,60578
110253,family,Temnotropidae,60578
253117,superfamily,Schizogonioidea,58775
253118,family,Pseudowortheniellidae,253117
110208,family,Schizogoniidae,253117
70806,suborder,Trochina,58775
112350,superfamily,Turbinoidea,58775
62646,family,Turbinidae,112350
112365,family,Bolmidae,112350
59115,family,Angariidae,59116
61704,family,Phasianellidae,112350
70805,suborder,Selenimorpha,58775
58517,suborder,Pleurotomariina,58775
111532,superfamily,Lepetodriloidea,58775
111533,family,Lepetodrilidae,164094
111534,family,Gorgoleptidae,164094
111578,family,Sutilizonidae,164094
111535,family,Clypeosectidae,164094
70810,superfamily,Cirroidea,58775
59726,family,Cirridae,70810
85888,family,Discohelicidae,70810
62208,superfamily,Seguenzioidea,58775
253045,family,Ancistrobasidae,62208
70610,family,Eucyclidae,62208
59031,family,Amberleyidae,62208
253043,family,Calliotropidae,62208
62207,family,Seguenziidae,62208
253019,superfamily,Eucycloidea,58775
253021,family,Eucycloscalidae,62208
253040,family,Pagodatrochidae,62208
253034,family,Pseudoturcicidae,62208
253041,family,Turcicidae,62208
111562,family,Chilodontidae,62208
253022,family,Sabrinellidae,62208
253026,family,Eunemopsidae,62208
111566,family,Laubellidae,62208
60371,superfamily,Fissurelloidea,58775
60369,family,Fissurellidae,60371
111166,family,Rimulidae,60371
111169,family,Clypidinidae,60371
111167,family,Zeidoridae,60371
61672,family,Pendromidae,58775
62550,family,Trachysmidae,61672
111538,superfamily,Neomphaloidea,58775
111539,family,Neomphalidae,111538
111540,family,Cyathermiidae,111538
111541,family,Melanodrymiidae,111538
111542,family,Peltospiridae,111538
88894,superfamily,Scissurelloidea,58775
111571,family,Anatomidae,164101
111555,family,Schizotrochidae,164101
62198,family,Scissurellidae,164101
111553,family,Larocheidae,62198
58774,superfamily,Trochoidea,58775
62601,family,Trochidae,62599
62600,family,Trochaclididae,62601
62344,family,Stomatiidae,62599
253156,family,Fossarinidae,62599
